line_no_1based	id	workload	n_core	split	reason
344	W_ads_ctr,TQ,seg00343	W_ads_ctr	1	train	train_not_reached_by_step3500
354	W_ads_ctr,TQ,seg00353	W_ads_ctr	1	train	train_not_reached_by_step3500
362	W_ads_ctr,TQ,seg00361	W_ads_ctr	1	train	train_not_reached_by_step3500
369	W_ads_ctr,TQ,seg00368	W_ads_ctr	1	train	train_not_reached_by_step3500
373	W_ads_ctr,TQ,seg00372	W_ads_ctr	1	train	train_not_reached_by_step3500
378	W_ads_ctr,TQ,seg00377	W_ads_ctr	1	train	train_not_reached_by_step3500
384	W_ads_ctr,TQ,seg00383	W_ads_ctr	1	train	train_not_reached_by_step3500
388	W_ads_ctr,TQ,seg00387	W_ads_ctr	1	train	train_not_reached_by_step3500
401	W_ads_ctr,TQ,seg00400	W_ads_ctr	1	train	train_not_reached_by_step3500
404	W_ads_ctr,TQ,seg00403	W_ads_ctr	1	train	train_not_reached_by_step3500
414	W_ads_ctr,TQ,seg00413	W_ads_ctr	1	train	train_not_reached_by_step3500
422	W_ads_ctr,TQ,seg00421	W_ads_ctr	1	train	train_not_reached_by_step3500
430	W_ads_ctr,TQ,seg00429	W_ads_ctr	1	train	train_not_reached_by_step3500
436	W_ads_ctr,TQ,seg00435	W_ads_ctr	1	train	train_not_reached_by_step3500
438	W_ads_ctr,TQ,seg00437	W_ads_ctr	1	train	train_not_reached_by_step3500
441	W_ads_ctr,TQ,seg00440	W_ads_ctr	1	train	train_not_reached_by_step3500
445	W_ads_ctr,TQ,seg00444	W_ads_ctr	1	train	train_not_reached_by_step3500
446	W_ads_ctr,TQ,seg00445	W_ads_ctr	1	train	train_not_reached_by_step3500
451	W_ads_ctr,TQ,seg00450	W_ads_ctr	1	train	train_not_reached_by_step3500
458	W_ads_ctr,TQ,seg00457	W_ads_ctr	1	train	train_not_reached_by_step3500
459	W_ads_ctr,TQ,seg00458	W_ads_ctr	1	train	train_not_reached_by_step3500
466	W_ads_ctr,TQ,seg00465	W_ads_ctr	1	train	train_not_reached_by_step3500
471	W_ads_ctr,TQ,seg00470	W_ads_ctr	1	train	train_not_reached_by_step3500
473	W_ads_ctr,TQ,seg00472	W_ads_ctr	1	train	train_not_reached_by_step3500
484	W_ads_ctr,TQ,seg00483	W_ads_ctr	1	train	train_not_reached_by_step3500
487	W_ads_ctr,TQ,seg00486	W_ads_ctr	1	train	train_not_reached_by_step3500
490	W_ads_ctr,TQ,seg00489	W_ads_ctr	1	train	train_not_reached_by_step3500
499	W_ads_ctr,TQ,seg00498	W_ads_ctr	1	train	train_not_reached_by_step3500
500	W_ads_ctr,TQ,seg00499	W_ads_ctr	1	train	train_not_reached_by_step3500
501	W_ads_ctr,TQ,seg00500	W_ads_ctr	1	train	train_not_reached_by_step3500
504	W_ads_ctr,TQ,seg00503	W_ads_ctr	1	train	train_not_reached_by_step3500
505	W_ads_ctr,TQ,seg00504	W_ads_ctr	1	train	train_not_reached_by_step3500
510	W_ads_ctr,TQ,seg00509	W_ads_ctr	1	train	train_not_reached_by_step3500
512	W_ads_ctr,TQ,seg00511	W_ads_ctr	1	train	train_not_reached_by_step3500
525	W_ads_ctr,TQ,seg00524	W_ads_ctr	1	train	train_not_reached_by_step3500
529	W_ads_ctr,TQ,seg00528	W_ads_ctr	1	train	train_not_reached_by_step3500
535	W_ads_ctr,TQ,seg00534	W_ads_ctr	1	train	train_not_reached_by_step3500
541	W_ads_ctr,TQ,seg00540	W_ads_ctr	1	train	train_not_reached_by_step3500
551	W_ads_ctr,TQ,seg00550	W_ads_ctr	1	train	train_not_reached_by_step3500
558	W_ads_ctr,TQ,seg00557	W_ads_ctr	1	train	train_not_reached_by_step3500
563	W_ads_ctr,TQ,seg00562	W_ads_ctr	1	train	train_not_reached_by_step3500
571	W_ads_ctr,TQ,seg00570	W_ads_ctr	1	train	train_not_reached_by_step3500
588	W_ads_ctr,TQ,seg00587	W_ads_ctr	1	train	train_not_reached_by_step3500
589	W_ads_ctr,TQ,seg00588	W_ads_ctr	1	train	train_not_reached_by_step3500
595	W_ads_ctr,TQ,seg00594	W_ads_ctr	1	train	train_not_reached_by_step3500
599	W_ads_ctr,TQ,seg00598	W_ads_ctr	1	train	train_not_reached_by_step3500
605	W_ads_ranking_proxy,TQ,seg00005	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
613	W_ads_ranking_proxy,TQ,seg00013	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
617	W_ads_ranking_proxy,TQ,seg00017	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
618	W_ads_ranking_proxy,TQ,seg00018	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
620	W_ads_ranking_proxy,TQ,seg00020	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
622	W_ads_ranking_proxy,TQ,seg00022	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
623	W_ads_ranking_proxy,TQ,seg00023	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
625	W_ads_ranking_proxy,TQ,seg00025	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
626	W_ads_ranking_proxy,TQ,seg00026	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
627	W_ads_ranking_proxy,TQ,seg00027	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
628	W_ads_ranking_proxy,TQ,seg00028	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
632	W_ads_ranking_proxy,TQ,seg00032	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
636	W_ads_ranking_proxy,TQ,seg00036	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
645	W_ads_ranking_proxy,TQ,seg00045	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
655	W_ads_ranking_proxy,TQ,seg00055	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
662	W_ads_ranking_proxy,TQ,seg00062	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
665	W_ads_ranking_proxy,TQ,seg00065	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
669	W_ads_ranking_proxy,TQ,seg00069	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
671	W_ads_ranking_proxy,TQ,seg00071	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
681	W_ads_ranking_proxy,TQ,seg00081	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
690	W_ads_ranking_proxy,TQ,seg00090	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
692	W_ads_ranking_proxy,TQ,seg00092	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
693	W_ads_ranking_proxy,TQ,seg00093	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
702	W_ads_ranking_proxy,TQ,seg00102	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
705	W_ads_ranking_proxy,TQ,seg00105	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
711	W_ads_ranking_proxy,TQ,seg00111	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
713	W_ads_ranking_proxy,TQ,seg00113	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
720	W_ads_ranking_proxy,TQ,seg00120	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
721	W_ads_ranking_proxy,TQ,seg00121	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
725	W_ads_ranking_proxy,TQ,seg00125	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
728	W_ads_ranking_proxy,TQ,seg00128	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
731	W_ads_ranking_proxy,TQ,seg00131	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
743	W_ads_ranking_proxy,TQ,seg00143	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
758	W_ads_ranking_proxy,TQ,seg00158	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
761	W_ads_ranking_proxy,TQ,seg00161	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
772	W_ads_ranking_proxy,TQ,seg00172	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
776	W_ads_ranking_proxy,TQ,seg00176	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
779	W_ads_ranking_proxy,TQ,seg00179	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
784	W_ads_ranking_proxy,TQ,seg00184	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
788	W_ads_ranking_proxy,TQ,seg00188	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
797	W_ads_ranking_proxy,TQ,seg00197	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
799	W_ads_ranking_proxy,TQ,seg00199	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
801	W_ads_ranking_proxy,TQ,seg00201	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
807	W_ads_ranking_proxy,TQ,seg00207	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
816	W_ads_ranking_proxy,TQ,seg00216	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
818	W_ads_ranking_proxy,TQ,seg00218	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
823	W_ads_ranking_proxy,TQ,seg00223	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
833	W_ads_ranking_proxy,TQ,seg00233	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
842	W_ads_ranking_proxy,TQ,seg00242	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
856	W_ads_ranking_proxy,TQ,seg00256	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
859	W_ads_ranking_proxy,TQ,seg00259	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
861	W_ads_ranking_proxy,TQ,seg00261	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
867	W_ads_ranking_proxy,TQ,seg00267	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
880	W_ads_ranking_proxy,TQ,seg00280	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
883	W_ads_ranking_proxy,TQ,seg00283	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
910	W_ads_ranking_proxy,TQ,seg00310	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
911	W_ads_ranking_proxy,TQ,seg00311	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
912	W_ads_ranking_proxy,TQ,seg00312	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
917	W_ads_ranking_proxy,TQ,seg00317	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
925	W_ads_ranking_proxy,TQ,seg00325	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
926	W_ads_ranking_proxy,TQ,seg00326	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
931	W_ads_ranking_proxy,TQ,seg00331	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
933	W_ads_ranking_proxy,TQ,seg00333	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
940	W_ads_ranking_proxy,TQ,seg00340	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
943	W_ads_ranking_proxy,TQ,seg00343	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
948	W_ads_ranking_proxy,TQ,seg00348	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
952	W_ads_ranking_proxy,TQ,seg00352	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
960	W_ads_ranking_proxy,TQ,seg00360	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
965	W_ads_ranking_proxy,TQ,seg00365	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
969	W_ads_ranking_proxy,TQ,seg00369	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
976	W_ads_ranking_proxy,TQ,seg00376	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
978	W_ads_ranking_proxy,TQ,seg00378	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
988	W_ads_ranking_proxy,TQ,seg00388	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
990	W_ads_ranking_proxy,TQ,seg00390	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
998	W_ads_ranking_proxy,TQ,seg00398	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1004	W_ads_ranking_proxy,TQ,seg00404	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1010	W_ads_ranking_proxy,TQ,seg00410	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1016	W_ads_ranking_proxy,TQ,seg00416	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1020	W_ads_ranking_proxy,TQ,seg00420	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1024	W_ads_ranking_proxy,TQ,seg00424	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1036	W_ads_ranking_proxy,TQ,seg00436	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1039	W_ads_ranking_proxy,TQ,seg00439	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1041	W_ads_ranking_proxy,TQ,seg00441	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1042	W_ads_ranking_proxy,TQ,seg00442	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1043	W_ads_ranking_proxy,TQ,seg00443	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1044	W_ads_ranking_proxy,TQ,seg00444	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1055	W_ads_ranking_proxy,TQ,seg00455	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1059	W_ads_ranking_proxy,TQ,seg00459	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1061	W_ads_ranking_proxy,TQ,seg00461	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1067	W_ads_ranking_proxy,TQ,seg00467	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1069	W_ads_ranking_proxy,TQ,seg00469	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1074	W_ads_ranking_proxy,TQ,seg00474	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1075	W_ads_ranking_proxy,TQ,seg00475	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1086	W_ads_ranking_proxy,TQ,seg00486	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1088	W_ads_ranking_proxy,TQ,seg00488	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1117	W_ads_ranking_proxy,TQ,seg00517	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1120	W_ads_ranking_proxy,TQ,seg00520	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1153	W_ads_ranking_proxy,TQ,seg00553	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1156	W_ads_ranking_proxy,TQ,seg00556	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1167	W_ads_ranking_proxy,TQ,seg00567	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1174	W_ads_ranking_proxy,TQ,seg00574	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1186	W_ads_ranking_proxy,TQ,seg00586	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1187	W_ads_ranking_proxy,TQ,seg00587	W_ads_ranking_proxy	1	train	train_not_reached_by_step3500
1202	W_branch_storm,TQ,seg00003	W_branch_storm	1	train	train_not_reached_by_step3500
1208	W_branch_storm,TQ,seg00009	W_branch_storm	1	train	train_not_reached_by_step3500
1243	W_branch_storm,TQ,seg00044	W_branch_storm	1	train	train_not_reached_by_step3500
1256	W_branch_storm,TQ,seg00057	W_branch_storm	1	train	train_not_reached_by_step3500
1259	W_branch_storm,TQ,seg00060	W_branch_storm	1	train	train_not_reached_by_step3500
1286	W_branch_storm,TQ,seg00087	W_branch_storm	1	train	train_not_reached_by_step3500
1288	W_branch_storm,TQ,seg00089	W_branch_storm	1	train	train_not_reached_by_step3500
1293	W_branch_storm,TQ,seg00094	W_branch_storm	1	train	train_not_reached_by_step3500
1301	W_branch_storm,TQ,seg00102	W_branch_storm	1	train	train_not_reached_by_step3500
1312	W_branch_storm,TQ,seg00113	W_branch_storm	1	train	train_not_reached_by_step3500
1313	W_branch_storm,TQ,seg00114	W_branch_storm	1	train	train_not_reached_by_step3500
1314	W_branch_storm,TQ,seg00115	W_branch_storm	1	train	train_not_reached_by_step3500
1315	W_branch_storm,TQ,seg00116	W_branch_storm	1	train	train_not_reached_by_step3500
1329	W_branch_storm,TQ,seg00130	W_branch_storm	1	train	train_not_reached_by_step3500
1337	W_branch_storm,TQ,seg00138	W_branch_storm	1	train	train_not_reached_by_step3500
1346	W_branch_storm,TQ,seg00147	W_branch_storm	1	train	train_not_reached_by_step3500
1359	W_branch_storm,TQ,seg00160	W_branch_storm	1	train	train_not_reached_by_step3500
1362	W_branch_storm,TQ,seg00163	W_branch_storm	1	train	train_not_reached_by_step3500
1363	W_branch_storm,TQ,seg00164	W_branch_storm	1	train	train_not_reached_by_step3500
1365	W_branch_storm,TQ,seg00166	W_branch_storm	1	train	train_not_reached_by_step3500
1374	W_branch_storm,TQ,seg00175	W_branch_storm	1	train	train_not_reached_by_step3500
1381	W_branch_storm,TQ,seg00182	W_branch_storm	1	train	train_not_reached_by_step3500
1382	W_branch_storm,TQ,seg00183	W_branch_storm	1	train	train_not_reached_by_step3500
1393	W_branch_storm,TQ,seg00194	W_branch_storm	1	train	train_not_reached_by_step3500
1402	W_branch_storm,TQ,seg00203	W_branch_storm	1	train	train_not_reached_by_step3500
1411	W_branch_storm,TQ,seg00212	W_branch_storm	1	train	train_not_reached_by_step3500
1412	W_branch_storm,TQ,seg00213	W_branch_storm	1	train	train_not_reached_by_step3500
1414	W_branch_storm,TQ,seg00215	W_branch_storm	1	train	train_not_reached_by_step3500
1417	W_branch_storm,TQ,seg00218	W_branch_storm	1	train	train_not_reached_by_step3500
1425	W_branch_storm,TQ,seg00226	W_branch_storm	1	train	train_not_reached_by_step3500
1427	W_branch_storm,TQ,seg00228	W_branch_storm	1	train	train_not_reached_by_step3500
1433	W_branch_storm,TQ,seg00234	W_branch_storm	1	train	train_not_reached_by_step3500
1437	W_branch_storm,TQ,seg00238	W_branch_storm	1	train	train_not_reached_by_step3500
1443	W_branch_storm,TQ,seg00244	W_branch_storm	1	train	train_not_reached_by_step3500
1448	W_branch_storm,TQ,seg00249	W_branch_storm	1	train	train_not_reached_by_step3500
1457	W_branch_storm,TQ,seg00258	W_branch_storm	1	train	train_not_reached_by_step3500
1459	W_branch_storm,TQ,seg00260	W_branch_storm	1	train	train_not_reached_by_step3500
1462	W_branch_storm,TQ,seg00263	W_branch_storm	1	train	train_not_reached_by_step3500
1463	W_branch_storm,TQ,seg00264	W_branch_storm	1	train	train_not_reached_by_step3500
1464	W_branch_storm,TQ,seg00265	W_branch_storm	1	train	train_not_reached_by_step3500
1474	W_branch_storm,TQ,seg00275	W_branch_storm	1	train	train_not_reached_by_step3500
1475	W_branch_storm,TQ,seg00276	W_branch_storm	1	train	train_not_reached_by_step3500
1476	W_branch_storm,TQ,seg00277	W_branch_storm	1	train	train_not_reached_by_step3500
1486	W_branch_storm,TQ,seg00287	W_branch_storm	1	train	train_not_reached_by_step3500
1493	W_branch_storm,TQ,seg00294	W_branch_storm	1	train	train_not_reached_by_step3500
1500	W_branch_storm,TQ,seg00301	W_branch_storm	1	train	train_not_reached_by_step3500
1501	W_branch_storm,TQ,seg00302	W_branch_storm	1	train	train_not_reached_by_step3500
1524	W_branch_storm,TQ,seg00325	W_branch_storm	1	train	train_not_reached_by_step3500
1526	W_branch_storm,TQ,seg00327	W_branch_storm	1	train	train_not_reached_by_step3500
1538	W_branch_storm,TQ,seg00339	W_branch_storm	1	train	train_not_reached_by_step3500
1539	W_branch_storm,TQ,seg00340	W_branch_storm	1	train	train_not_reached_by_step3500
1546	W_branch_storm,TQ,seg00347	W_branch_storm	1	train	train_not_reached_by_step3500
1550	W_branch_storm,TQ,seg00351	W_branch_storm	1	train	train_not_reached_by_step3500
1551	W_branch_storm,TQ,seg00352	W_branch_storm	1	train	train_not_reached_by_step3500
1560	W_branch_storm,TQ,seg00361	W_branch_storm	1	train	train_not_reached_by_step3500
1569	W_branch_storm,TQ,seg00370	W_branch_storm	1	train	train_not_reached_by_step3500
1571	W_branch_storm,TQ,seg00372	W_branch_storm	1	train	train_not_reached_by_step3500
1583	W_branch_storm,TQ,seg00384	W_branch_storm	1	train	train_not_reached_by_step3500
1590	W_branch_storm,TQ,seg00391	W_branch_storm	1	train	train_not_reached_by_step3500
1612	W_branch_storm,TQ,seg00413	W_branch_storm	1	train	train_not_reached_by_step3500
1645	W_branch_storm,TQ,seg00446	W_branch_storm	1	train	train_not_reached_by_step3500
1649	W_branch_storm,TQ,seg00450	W_branch_storm	1	train	train_not_reached_by_step3500
1652	W_branch_storm,TQ,seg00453	W_branch_storm	1	train	train_not_reached_by_step3500
1656	W_branch_storm,TQ,seg00457	W_branch_storm	1	train	train_not_reached_by_step3500
1665	W_branch_storm,TQ,seg00466	W_branch_storm	1	train	train_not_reached_by_step3500
1675	W_branch_storm,TQ,seg00476	W_branch_storm	1	train	train_not_reached_by_step3500
1679	W_branch_storm,TQ,seg00480	W_branch_storm	1	train	train_not_reached_by_step3500
1700	W_branch_storm,TQ,seg00501	W_branch_storm	1	train	train_not_reached_by_step3500
1704	W_branch_storm,TQ,seg00505	W_branch_storm	1	train	train_not_reached_by_step3500
1715	W_branch_storm,TQ,seg00516	W_branch_storm	1	train	train_not_reached_by_step3500
1716	W_branch_storm,TQ,seg00517	W_branch_storm	1	train	train_not_reached_by_step3500
1717	W_branch_storm,TQ,seg00518	W_branch_storm	1	train	train_not_reached_by_step3500
1720	W_branch_storm,TQ,seg00521	W_branch_storm	1	train	train_not_reached_by_step3500
1727	W_branch_storm,TQ,seg00528	W_branch_storm	1	train	train_not_reached_by_step3500
1731	W_branch_storm,TQ,seg00532	W_branch_storm	1	train	train_not_reached_by_step3500
1741	W_branch_storm,TQ,seg00542	W_branch_storm	1	train	train_not_reached_by_step3500
1747	W_branch_storm,TQ,seg00548	W_branch_storm	1	train	train_not_reached_by_step3500
1748	W_branch_storm,TQ,seg00549	W_branch_storm	1	train	train_not_reached_by_step3500
1751	W_branch_storm,TQ,seg00552	W_branch_storm	1	train	train_not_reached_by_step3500
1752	W_branch_storm,TQ,seg00553	W_branch_storm	1	train	train_not_reached_by_step3500
1774	W_branch_storm,TQ,seg00575	W_branch_storm	1	train	train_not_reached_by_step3500
1781	W_branch_storm,TQ,seg00582	W_branch_storm	1	train	train_not_reached_by_step3500
1782	W_branch_storm,TQ,seg00583	W_branch_storm	1	train	train_not_reached_by_step3500
1798	W_chase_dram,TQ,seg00000	W_chase_dram	1	train	train_not_reached_by_step3500
1800	W_chase_dram,TQ,seg00002	W_chase_dram	1	train	train_not_reached_by_step3500
1807	W_chase_dram,TQ,seg00009	W_chase_dram	1	train	train_not_reached_by_step3500
1808	W_chase_dram,TQ,seg00010	W_chase_dram	1	train	train_not_reached_by_step3500
1817	W_chase_dram,TQ,seg00019	W_chase_dram	1	train	train_not_reached_by_step3500
1819	W_chase_dram,TQ,seg00021	W_chase_dram	1	train	train_not_reached_by_step3500
1826	W_chase_dram,TQ,seg00028	W_chase_dram	1	train	train_not_reached_by_step3500
1832	W_chase_dram,TQ,seg00034	W_chase_dram	1	train	train_not_reached_by_step3500
1837	W_chase_dram,TQ,seg00039	W_chase_dram	1	train	train_not_reached_by_step3500
